event_date,event_name,source_scope,event_tier,rating_context,direct_context_head,classification_reason,all_results_update_shared_skill,direct_label_controls_input_eligibility
2009-11-06,IFSC Climbing Worldcup (L) - Brno (CZE) 2009,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2009-11-14,IFSC Climbing Worldcup (L) - Kranj (SLO) 2009,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2009-11-15,Westdeutsche Meisterschaften Lead + Speed - Frankenthal 2009,DIGITALROCK,National championship youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2009-11-21,NRW Landesmeisterschaft Lead - Wuppertal 2009,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2009-11-21,IFSC European Youth Series - Kranj (SLO) 2009,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2009-11-29,Deutsche Jugendmeisterschaft - Darmstadt 2009,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-03-21,CISM Winter Military World Games - Courmayeur (ITA) 2010,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-04-30,IFSC Climbing Worldcup (S) - Trento (ITA) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-05-08,Mammut Youth Climbing Cup MYCC (L) - Küblis 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-05-14,IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-05-28,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-06-04,IFSC Climbing Worldcup (B) - Vail (USA) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-06-05,European Youth Series - Imst (AUT) 2010,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2010-06-12,Mammut Youth Climbing Cup MYCC + SM (B) - Genève 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-06-13,Swiss Climbing Cup SCC (B) - Genève 2010,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2010-06-17,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-06-19,Mammut Youth Climbing Cup MYCC (S) - St. Gallen 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-06-25,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-06-26,Mammut Youth Climbing Cup MYCC (L) - Schlieren 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-07-03,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-07-12,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-07-16,Rock Master - World Championship Pre-event - Arco (ITA),IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-07-17,Bayerische Meisterschaften Jugend/Junioren (Bouldern) - Regensburg 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-07-18,Rockmaster ARCO  2010 - Duel Lead,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-07-24,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Coburg 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-07-24,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-07-29,"Lead International Event, Open International - Briancon (FRA) 2010",IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-07-30,IFSC Climbing Worldcup (B) - Munich (GER) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-08-06,Deutsche Jugendmeisterschaft Bouldern - Überlingen 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-08-14,European Youth Series - Wien (AUT) 2010,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2010-08-20,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-08-21,Swiss Climbing Cup SCC (L) - St. Gallen 2010,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2010-08-28,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-09-04,Swiss Climbing Cup SCC + SM (L) - Niederwangen 2010,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2010-09-05,Mammut Youth Climbing Cup MYCC + SM (L) - Niederwangen 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-09-09,IFSC World Youth Championship - Edinburgh (GBR) - 2010,IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-09-14,European Championship - Imst/Innsbruck (AUT) 2010,IFSC,Continental championship,Senior / Open,IFSC_REG:EUROPE,direct IFSC regional/continental evidence,True,False
2010-09-16,Asian Continental Championship,IFSC,Continental championship,Senior / Open,IFSC_REG:ASIA,direct IFSC regional/continental evidence,True,False
2010-09-18,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Ingolstadt 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-09-24,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-09-26,DAV Jugend- und Juniorencup Heilbronn 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-10-02,NRW Landesmeisterschaft Lead - Köln-Chorweiler 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-10-02,European Youth Series - Veliko Tarnovo (BUL) 2010,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2010-10-02,Mammut Youth Climbing Cup MYCC + SM (S) - Züspa Zürich 2010,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2010-10-02,Swiss Climbing Cup SCC + SM (S) - Züspa Zürich 2010,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2010-10-16,Swiss Climbing Cup SCC + SM (B) - Pratteln 2010,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2010-10-17,DAV Jugend- und Juniorencup Würzburg 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-10-23,European Youth Series - Annecy (France) 2010,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2010-10-29,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-10-30,DAV Jugend- und Juniorencup Balingen 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-11-06,Westdeutsche Meisterschaft - Wuppertal 2010,DIGITALROCK,National championship youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-11-13,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2010-11-20,European Youth Series - Kranj (SLO) 2010,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2010-11-23,"PanAmerican Youth Championship (L,S, B) - Ibarra (ECU)",IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-11-27,Deutsche Jugendmeisterschaft - Leipzig 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2010-12-04,European Speed Cup - Nicosia (CYP) 2010,IFSC,Continental series,Senior / Open,IFSC_REG:EUROPE,direct IFSC regional/continental evidence,True,False
2010-12-11,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Rosenheim 2010,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-03-06,Rheintal Cup - Kinder-Bouldertag Küblis (B),IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-03-26,Bächli Swiss Climbing Cup BSCC (B) - Genève,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2011-04-09,Rheintal Cup - Junior Cup Dornbirn (L),IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-04-10,DAV Jugendcup - Scheidegg 2011,DIGITALROCK,National series youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-04-14,"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-04-16,Bayerische Meisterschaften Jugend/Junioren (Bouldern) - Thalkirchen 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-05-07,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-05-07,Bächli Swiss Climbing Cup BSCC (B) - Pratteln,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2011-05-13,IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 ,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-05-14,European Youth Cup (S) - Tarnow (POL) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-05-15, Mammut Youth Climbing Cup MYCC + SM (B) - Lugano,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-05-20,"European Youth Cup (L,S) - Edinburgh (GBR) 2011",IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-05-27,IFSC Climbing Worldcup (B) - Canmore (CAN) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-06-03,IFSC Climbing Worldcup (B) - Vail (USA) 2011 ,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-06-04,DAV Jugendcup - Regensburg 2011,DIGITALROCK,National series youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-06-05,Mammut Youth Climbing Cup MYCC (B) - Grindelwald,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-06-12,Deutsche Jugendmeisterschaft Bouldern - Frankfurt 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-06-17,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-06-25,IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-06-25,Mammut Youth Climbing Cup MYCC (L) - Sottens,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-07-02,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-07-09,European Youth Cup (S) - Chamonix (FRA) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-07-12,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-07-14,European Youth Cup (S) - Friedrichshafen (GER) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-07-15,IFSC Climbing World Championships  - Arco (ITA) 2011,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-07-20,IFSC World Championship Lead Group A - Arco 2011,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-07-20,IFSC World Championship Lead Group B - Arco 2011,IFSC,World major,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-07-23,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Coburg 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-07-23,Rockmaster Gala Duel - Arco (ITA) 2011,IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-07-28,Asian Youth Championship - Singapore (SGP) 2011,IFSC,Continental championship youth,Youth,IFSC_REG:ASIA:YOUTH,direct IFSC regional/continental evidence,True,False
2011-07-29,IFSC Climbing Worldcup (L) - Briançon (FRA) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-08-01,"European Youth Cup (L,S) - Veliko Tarnovo (BUL) 2011",IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-08-06,IFSC Climbing Worldcup (S) - Daone (ITA) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-08-12,European Youth Cup (L) - Imst (AUT) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-08-19,IFSC Climbing Worldcup (B) - Munich (GER) 2011 ,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-08-21,Mammut Youth Climbing Cup MYCC + SM (L) - Niederwangen,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-08-25,IFSC World Youth Championship - Imst (AUT) - 2011,IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-09-02,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-09-07,"IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-09-10,European Youth Cup (B) - Meran (ITA) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-09-10,Bächli Swiss Climbing Cup BSCC + SM (S) - St. Gallen,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2011-09-10,Mammut Youth Climbing Cup MYCC (S) - St.Gallen,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-09-16,European Youth Cup (B)- Munich (GER) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-09-24,Rheintal Cup - Megusta-Kids-Cup (L),IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-09-24,Rheintal Cup - Megusta-Kids-Cup (S),IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-09-25,DAV Jugendcup - Darmstadt 2011,DIGITALROCK,National series youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-09-30,IFSC Climbing Worldcup (L) - Puurs (BEL) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-10-01,Bächli Swiss Climbing Cup BSCC (S) - Züspa,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2011-10-01,Mammut Youth Climbing Cup MYCC + SM (S) - Züspa,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2011-10-08,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Würzburg 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-10-08,NRW-LM-Cup (2) Lead - Ahlen 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-10-08,IFSC Climbing Worldcup (L) - Boulder (USA) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-10-20,IFSC Climbing Worldcup (L) - Amman (JOR) 2011 ,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-10-28,IFSC Climbing Worldcup (L) - Valence (FRA) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-11-11,European Youth Cup (L) - Pau (FRA) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-11-13, Westdeutsche und  Hessische Meisterschaft Sportklettern - Kassel 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-11-19,NRW Landesmeisterschaft - Troisdorf-Spich 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-11-19,IFSC Climbing Worldcup (L) - Kranj (SLO) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-11-26,European Youth Cup (L)- Kranj (SLO) 2011,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2011-11-26,IFSC Climbing Worldcup (L) - Barcelona (ESP) 2011,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2011-12-03,Deutsche Jugendmeisterschaft - Wuppertal 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-12-03,Rheintal Cup Finale - Nikoloklettern Dornbirn (L),IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-12-10,Bayerische Meisterschaften Jugend/Junioren (Schwierigkeit) - Berchtesgaden 2011,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2011-12-11,Bayerische Meisterschaft Damen/Herren (Schwierigkeit & Speed) – Berchtesgaden 2011,DIGITALROCK,Regional / local,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-02-25,Bayerische Meisterschaften Jugend (Bouldern) - Climb Free München 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-03-24,Rheintal Cup - Junior Cup Dornbirn (L) 2012,IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-03-31,Bächli Swiss Climbing Cup BSCC (L) - St. Gallen / Bodensee Climbing Trophy,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2012-04-13,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-04-15,Rheintal Cup - Bouldertag Küblis (B) 2012,IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-04-21,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-04-25,"Asian Continental Championship - Leye, Guangxi (CHN) 2012",IFSC,Continental championship,Senior / Open,IFSC_REG:ASIA,direct IFSC regional/continental evidence,True,False
2012-04-27,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-04-28,Offene Hessische Meisterschaft - Wetzlar 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-05-05,Deutscher Jugendcup Lead - Balingen 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-05-05,Bächli Swiss Climbing Cup BSCC (B) - Vernier / Genève,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2012-05-18,"European Youth Cup (L,S) - Edinburgh (GBR) 2012",IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-05-18,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-05-25,"European Youth Cup (L,S) - Moscow (RUS) 2012",IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-05-26,Deutsche Jugendmeisterschaft Bouldern - Auerbach 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-06-01,IFSC Climbing Worldcup (B) - Vail (USA) 2012 ,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-06-02,Rheinland-Pfalz-Cup Bouldern - Rocktown Kaiserslautern 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-06-02,European Youth Cup (B) - Grindelwald (SUI) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-06-09,European Youth Cup (L) - Voiron (FRA) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-06-09,Bächli Swiss Climbing Cup BSCC + SM (B) - Grindelwald,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2012-06-10,Mammut Youth Climbing Cup MYCC + SM (B) - Grindelwald,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2012-06-23,Rheinland-Pfalz-Cup Lead - Pfalzrock Frankenthal 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-06-23,Mammut Youth Climbing Cup MYCC + SM (L) - Sottens,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2012-06-30,European Youth Cup (L) - Linz (AUT) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-06-30,Bächli Swiss Climbing Cup BSCC (B) - Fribourg,SAC-CAS,National series,Senior / Open,FED:SAC-CAS,direct federation-level evidence,True,False
2012-07-07,Bayerische Jugend- und Junioren Meisterschaften (Lead) - Rosenheim 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-07-08,European Youth Cup (S) - Chamonix (FRA) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-07-11,Asian Youth Championship - Hamedan (IRI) 2012,IFSC,Continental championship youth,Youth,IFSC_REG:ASIA:YOUTH,direct IFSC regional/continental evidence,True,False
2012-07-12,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-07-20,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-07-25,European Youth Cup (B) - L'Argentière (FRA) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-07-28,Bayerische Jugend- und Junioren Meisterschaften (Lead) - Coburg 2012,DIGITALROCK,Regional / local youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-07-28,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-08-04,European Youth Cup (L) - Imst (AUT) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-08-10,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-08-11,European Youth Cup (S) - Pieve (ITA) 2012,IFSC,Continental series youth,Youth,IFSC_REG:EUROPE:YOUTH,direct IFSC regional/continental evidence,True,False
2012-08-25,IFSC Climbing Worldcup (B) - Munich (GER) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
2012-08-25,Mammut Youth Climbing Cup MYCC (L) - St. Gallen 2012,SAC-CAS,Regional / local,Youth,FED:SAC-CAS:YOUTH,direct federation-level evidence,True,False
2012-08-29,IFSC World Youth Championship - Singapore (SIN) - 2012,IFSC,International other youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-08-30,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2012",IFSC,International other,Senior / Open,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-09-01,Westdeutsche Meisterschaft - St. Wendel 2012,DIGITALROCK,National championship youth,Youth,SHARED_BRIDGE_ONLY,valid shared-skill evidence without a governed direct target-head label,True,False
2012-09-01,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,IFSC,World series,Senior / Open,WC,direct adult World series/World championship evidence,True,False
